person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,NAME_FREN,SVRG_UN,CAPT,EU_STAT,EFTA_STAT,CC_STAT,NAME_GERM,long,lat,coded_country,pk_person_features,occupation_main,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q312034,Maurice Couve de Murville,1907.0,masculin,Reims,POINT (4.028611 49.265278),Western Europe,France,France,UN Member State,Paris,T,F,F,Frankreich,4.028611,49.265278,France,2012,personnalité politique,other,other
http://www.wikidata.org/entity/Q3102266,Georges Becker,1905.0,masculin,Belfort,POINT (6.862778 47.6375),Western Europe,France,France,UN Member State,Paris,T,F,F,Frankreich,6.862778,47.6375,France,1952,personnalité politique,other,quotidien
http://www.wikidata.org/entity/Q882038,Raymond Schmittlein,1904.0,masculin,Roubaix,POINT (3.181667 50.69),Western Europe,France,France,UN Member State,Paris,T,F,F,Frankreich,3.181667,50.69,France,3738,personnalité politique,other,univ_other
http://www.wikidata.org/entity/Q481398,René Capitant,1901.0,masculin,La Tronche,POINT (5.740278 45.206389),Western Europe,France,France,UN Member State,Paris,T,F,F,Frankreich,5.740278,45.206389,France,3444,personnalité politique,other,université
http://www.wikidata.org/entity/Q19358512,Pierre Laffont,1913.0,masculin,Marseille,POINT (5.376389 43.296667),Western Europe,France,France,UN Member State,Paris,T,F,F,Frankreich,5.376389,43.296667,France,720,personnalité politique,other,quotidien
http://www.wikidata.org/entity/Q3187428,Joël Le Tac,1918.0,masculin,Paris,POINT (2.352222 48.856667),Western Europe,France,France,UN Member State,Paris,T,F,F,Frankreich,2.352222,48.856667,France,2551,personnalité politique,other,other
http://www.wikidata.org/entity/Q274267,Marie-Claude Vaillant-Couturier,1912.0,féminin,Paris,POINT (2.352222 48.856667),Western Europe,France,France,UN Member State,Paris,T,F,F,Frankreich,2.352222,48.856667,France,952,personnalité politique,other,quotidien
http://www.wikidata.org/entity/Q2185,Georges Pompidou,1911.0,masculin,Montboudif,POINT (2.731389 45.371389),Western Europe,France,France,UN Member State,Paris,T,F,F,Frankreich,2.731389,45.371389,France,826,personnalité politique,other,other
http://www.wikidata.org/entity/Q699510,Jacques Soustelle,1912.0,masculin,Montpellier,POINT (3.877231 43.610919),Western Europe,France,France,UN Member State,Paris,T,F,F,Frankreich,3.877231,43.610919,France,3666,personnalité politique,other,univ_other
http://www.wikidata.org/entity/Q365413,Félix Gaillard,1919.0,masculin,8e arrondissement de Paris,POINT (2.311111 48.874167),Western Europe,France,France,UN Member State,Paris,T,F,F,Frankreich,2.311111,48.874167,France,3390,personnalité politique,other,other
