person_uri,organisation_uri,organisation_label,relationship
http://www.wikidata.org/entity/Q101410,http://www.wikidata.org/entity/Q1155944,université Paris-Descartes,education
http://www.wikidata.org/entity/Q101410,http://www.wikidata.org/entity/Q2971533,château des Perrais,education
http://www.wikidata.org/entity/Q101410,http://www.wikidata.org/entity/Q3268939,lycée Sainte-Croix,education
http://www.wikidata.org/entity/Q101410,http://www.wikidata.org/entity/Q55849612,université Paris-Cité,education
http://www.wikidata.org/entity/Q101410,http://www.wikidata.org/entity/Q834825,Université du Mans,education
http://www.wikidata.org/entity/Q101410,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q101410,http://www.wikidata.org/entity/Q939743,Assemblée parlementaire du Conseil de l'Europe,membership
http://www.wikidata.org/entity/Q1027406,http://www.wikidata.org/entity/Q1252062,Institut d'études politiques de Bordeaux,education
http://www.wikidata.org/entity/Q10287,http://www.wikidata.org/entity/Q999763,université Paris-I-Panthéon-Sorbonne,education
http://www.wikidata.org/entity/Q1031645,http://www.wikidata.org/entity/Q1189954,École nationale supérieure des mines de Paris,education
http://www.wikidata.org/entity/Q1031645,http://www.wikidata.org/entity/Q1431541,lycée Janson-de-Sailly,education
http://www.wikidata.org/entity/Q1031645,http://www.wikidata.org/entity/Q273579,École nationale d'administration,education
http://www.wikidata.org/entity/Q1031645,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q104032664,http://www.wikidata.org/entity/Q112081363,lycée du Bois d'Amour de Poitiers,education
http://www.wikidata.org/entity/Q104032664,http://www.wikidata.org/entity/Q1144549,université Pierre-et-Marie-Curie,education
http://www.wikidata.org/entity/Q104032664,http://www.wikidata.org/entity/Q3326674,Mouvement européen - France,membership
http://www.wikidata.org/entity/Q104032664,http://www.wikidata.org/entity/Q3578312,École polytechnique universitaire de Nantes Université,education
http://www.wikidata.org/entity/Q106020252,http://www.wikidata.org/entity/Q131137989,emlyon alumni,membership
http://www.wikidata.org/entity/Q106020252,http://www.wikidata.org/entity/Q13917,Île-de-France,employment
http://www.wikidata.org/entity/Q106020252,http://www.wikidata.org/entity/Q1795504,EM Lyon Business School,education
http://www.wikidata.org/entity/Q106020252,http://www.wikidata.org/entity/Q3268926,lycée Saint-Louis-de-Gonzague,education
http://www.wikidata.org/entity/Q106020252,http://www.wikidata.org/entity/Q3567000,Webhelp,employment
http://www.wikidata.org/entity/Q106020252,http://www.wikidata.org/entity/Q3591589,établissement scolaire Saint-Jean-Baptiste-de-La-Salle – Notre-Dame-de-la-Compassion,education
http://www.wikidata.org/entity/Q106020252,http://www.wikidata.org/entity/Q489097,Ernst & Young,employment
http://www.wikidata.org/entity/Q106020252,http://www.wikidata.org/entity/Q682599,Veolia Eau,employment
http://www.wikidata.org/entity/Q106020252,http://www.wikidata.org/entity/Q813034,BearingPoint,employment
http://www.wikidata.org/entity/Q106291673,http://www.wikidata.org/entity/Q186638,université de Versailles-Saint-Quentin-en-Yvelines,education
http://www.wikidata.org/entity/Q106291673,http://www.wikidata.org/entity/Q2661290,université de Limoges,education
http://www.wikidata.org/entity/Q106489533,http://www.wikidata.org/entity/Q125761519,Agir pour la santé des femmes,membership
http://www.wikidata.org/entity/Q106489533,http://www.wikidata.org/entity/Q3080803,France terre d'asile,membership
http://www.wikidata.org/entity/Q106489533,http://www.wikidata.org/entity/Q3152119,Institut de relations internationales et stratégiques,education
http://www.wikidata.org/entity/Q106489533,http://www.wikidata.org/entity/Q3268682,lycée Fénelon Sainte-Marie,education
http://www.wikidata.org/entity/Q106489533,http://www.wikidata.org/entity/Q3577907,École de psychologues praticiens,education
http://www.wikidata.org/entity/Q106489533,http://www.wikidata.org/entity/Q999763,université Paris-I-Panthéon-Sorbonne,education
http://www.wikidata.org/entity/Q106635078,http://www.wikidata.org/entity/Q1125610,Confédération française des travailleurs chrétiens,membership
http://www.wikidata.org/entity/Q106635078,http://www.wikidata.org/entity/Q1351173,RTL,employment
http://www.wikidata.org/entity/Q106635078,http://www.wikidata.org/entity/Q19904,Franceinfo,employment
http://www.wikidata.org/entity/Q106635078,http://www.wikidata.org/entity/Q3207314,LCI,employment
http://www.wikidata.org/entity/Q106635078,http://www.wikidata.org/entity/Q3577908,"École de publicité, presse et relations publiques",education
http://www.wikidata.org/entity/Q106635078,http://www.wikidata.org/entity/Q372375,Sud Radio,employment
http://www.wikidata.org/entity/Q1096496,http://www.wikidata.org/entity/Q1144549,université Pierre-et-Marie-Curie,education
http://www.wikidata.org/entity/Q1096496,http://www.wikidata.org/entity/Q3268960,lycée Turgot,education
http://www.wikidata.org/entity/Q109681600,http://www.wikidata.org/entity/Q126453374,hôtel Ibis Batignolles,employment
http://www.wikidata.org/entity/Q109969696,http://www.wikidata.org/entity/Q1637105,Institut des sciences et industries du vivant et de l'environnement (AgroParisTech),education
http://www.wikidata.org/entity/Q109969696,http://www.wikidata.org/entity/Q661056,université de Poitiers,education
http://www.wikidata.org/entity/Q109969696,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q1103356,http://www.wikidata.org/entity/Q3578442,École supérieure de commerce en France,education
http://www.wikidata.org/entity/Q1106890,http://www.wikidata.org/entity/Q273515,École des ingénieurs de la ville de Paris,education
http://www.wikidata.org/entity/Q1108317,http://www.wikidata.org/entity/Q1252062,Institut d'études politiques de Bordeaux,education
http://www.wikidata.org/entity/Q1108317,http://www.wikidata.org/entity/Q769657,Conseil d'État,employment
http://www.wikidata.org/entity/Q1108317,http://www.wikidata.org/entity/Q939743,Assemblée parlementaire du Conseil de l'Europe,membership
http://www.wikidata.org/entity/Q110934545,http://www.wikidata.org/entity/Q1233816,Présent,employment
http://www.wikidata.org/entity/Q110998923,http://www.wikidata.org/entity/Q1637105,Institut des sciences et industries du vivant et de l'environnement (AgroParisTech),education
http://www.wikidata.org/entity/Q110998923,http://www.wikidata.org/entity/Q999763,université Paris-I-Panthéon-Sorbonne,education
http://www.wikidata.org/entity/Q111378729,http://www.wikidata.org/entity/Q17061030,Jumia,employment
http://www.wikidata.org/entity/Q111378729,http://www.wikidata.org/entity/Q1878600,lycée Henri-IV,education
http://www.wikidata.org/entity/Q111378729,http://www.wikidata.org/entity/Q23731823,Renaissance,employment
http://www.wikidata.org/entity/Q111378729,http://www.wikidata.org/entity/Q273626,École polytechnique,education
http://www.wikidata.org/entity/Q111378729,http://www.wikidata.org/entity/Q310207,McKinsey & Company,employment
http://www.wikidata.org/entity/Q111378729,http://www.wikidata.org/entity/Q49088,Université Columbia,education
http://www.wikidata.org/entity/Q111378729,http://www.wikidata.org/entity/Q86668796,Frichti,employment
http://www.wikidata.org/entity/Q112110960,http://www.wikidata.org/entity/Q1933558,université Toulouse-Jean-Jaurès,education
http://www.wikidata.org/entity/Q112110960,http://www.wikidata.org/entity/Q3578562,Institut national supérieur du professorat et de l'éducation,education
http://www.wikidata.org/entity/Q112110960,http://www.wikidata.org/entity/Q986542,Droit au logement,membership
http://www.wikidata.org/entity/Q112249169,http://www.wikidata.org/entity/Q1054148,Centre international de formation européenne,education
http://www.wikidata.org/entity/Q112249169,http://www.wikidata.org/entity/Q2253344,Institut d'études politiques de Lyon,education
http://www.wikidata.org/entity/Q112249169,http://www.wikidata.org/entity/Q64777785,Notre Affaire à Tous,membership
http://www.wikidata.org/entity/Q112308110,http://www.wikidata.org/entity/Q3425538,Renouveau étudiant,membership
http://www.wikidata.org/entity/Q112448632,http://www.wikidata.org/entity/Q83259,École normale supérieure,education
http://www.wikidata.org/entity/Q112518535,http://www.wikidata.org/entity/Q1444157,lycée Hoche,education
http://www.wikidata.org/entity/Q112518535,http://www.wikidata.org/entity/Q174570,London School of Economics,education
http://www.wikidata.org/entity/Q112518535,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q112572505,http://www.wikidata.org/entity/Q112611146,HEC Alumni,membership
http://www.wikidata.org/entity/Q112572505,http://www.wikidata.org/entity/Q273535,HEC Paris,education
http://www.wikidata.org/entity/Q112572505,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q112579260,http://www.wikidata.org/entity/Q3152509,Institut régional d'administration de Lyon,education
http://www.wikidata.org/entity/Q112630812,http://www.wikidata.org/entity/Q1194988,université Paris-VIII,education
http://www.wikidata.org/entity/Q112630812,http://www.wikidata.org/entity/Q273518,École des hautes études en sciences sociales,education
http://www.wikidata.org/entity/Q112635071,http://www.wikidata.org/entity/Q56284587,ordre des avocats de Nîmes,membership
http://www.wikidata.org/entity/Q112635593,http://www.wikidata.org/entity/Q612648,université Blaise-Pascal,education
http://www.wikidata.org/entity/Q112635717,http://www.wikidata.org/entity/Q3578449,PSB Paris School of Business,education
http://www.wikidata.org/entity/Q112635717,http://www.wikidata.org/entity/Q700758,université de la Sarre,education
http://www.wikidata.org/entity/Q112635717,http://www.wikidata.org/entity/Q999763,université Paris-I-Panthéon-Sorbonne,education
http://www.wikidata.org/entity/Q112636212,http://www.wikidata.org/entity/Q1125638,Confédération générale du travail,membership
http://www.wikidata.org/entity/Q112636212,http://www.wikidata.org/entity/Q1665106,Institut national de la recherche agronomique,education
http://www.wikidata.org/entity/Q112636598,http://www.wikidata.org/entity/Q2496149,université de Reims-Champagne-Ardenne,education
http://www.wikidata.org/entity/Q112638162,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q112640278,http://www.wikidata.org/entity/Q2992788,Confédération nationale du logement,membership
http://www.wikidata.org/entity/Q112641192,http://www.wikidata.org/entity/Q1878600,lycée Henri-IV,education
http://www.wikidata.org/entity/Q112641655,http://www.wikidata.org/entity/Q1125638,Confédération générale du travail,membership
http://www.wikidata.org/entity/Q112649548,http://www.wikidata.org/entity/Q1394262,université Paris-Nanterre,employment
http://www.wikidata.org/entity/Q112649548,http://www.wikidata.org/entity/Q2945496,centre de sociologie des organisations,employment
http://www.wikidata.org/entity/Q112649548,http://www.wikidata.org/entity/Q30262356,Laboratoire interdisciplinaire pour la sociologie économique,employment
http://www.wikidata.org/entity/Q112649548,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q112649913,http://www.wikidata.org/entity/Q112611146,HEC Alumni,membership
http://www.wikidata.org/entity/Q112649913,http://www.wikidata.org/entity/Q273535,HEC Paris,education
http://www.wikidata.org/entity/Q112649913,http://www.wikidata.org/entity/Q273579,École nationale d'administration,education
http://www.wikidata.org/entity/Q112649913,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q112650407,http://www.wikidata.org/entity/Q3206431,La Banque postale,employment
http://www.wikidata.org/entity/Q112650438,http://www.wikidata.org/entity/Q50846581,Cocarde étudiante,membership
http://www.wikidata.org/entity/Q112650708,http://www.wikidata.org/entity/Q221653,Université d'Utrecht,education
http://www.wikidata.org/entity/Q112650708,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q112651173,http://www.wikidata.org/entity/Q1235608,université Paris-Diderot,education
http://www.wikidata.org/entity/Q112651320,http://www.wikidata.org/entity/Q3577891,École de management de Normandie,education
http://www.wikidata.org/entity/Q112651333,http://www.wikidata.org/entity/Q459026,université Rennes-II,education
http://www.wikidata.org/entity/Q112651358,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q112651418,http://www.wikidata.org/entity/Q377191,Institut national de recherches archéologiques préventives,employment
http://www.wikidata.org/entity/Q112651418,http://www.wikidata.org/entity/Q999763,université Paris-I-Panthéon-Sorbonne,education
http://www.wikidata.org/entity/Q112651641,http://www.wikidata.org/entity/Q1125623,Force ouvrière,membership
http://www.wikidata.org/entity/Q112651884,http://www.wikidata.org/entity/Q273642,École supérieure des sciences économiques et commerciales,education
http://www.wikidata.org/entity/Q112651884,http://www.wikidata.org/entity/Q3151967,Institut d'études politiques de Strasbourg,education
http://www.wikidata.org/entity/Q112652262,http://www.wikidata.org/entity/Q1575029,Handicap International,employment
http://www.wikidata.org/entity/Q112652262,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q112652351,http://www.wikidata.org/entity/Q273626,École polytechnique,education
http://www.wikidata.org/entity/Q112652813,http://www.wikidata.org/entity/Q61936541,Barreau de Meaux,membership
http://www.wikidata.org/entity/Q112653333,http://www.wikidata.org/entity/Q158205,Sanofi,employment
http://www.wikidata.org/entity/Q112653860,http://www.wikidata.org/entity/Q13646,SNCF,employment
http://www.wikidata.org/entity/Q112653860,http://www.wikidata.org/entity/Q17355366,lycée Bernard-Palissy d'Agen,education
http://www.wikidata.org/entity/Q112653927,http://www.wikidata.org/entity/Q2986523,Commission des Affaires culturelles et de l'Éducation,membership
http://www.wikidata.org/entity/Q112653927,http://www.wikidata.org/entity/Q571293,université Sorbonne-Nouvelle,education
http://www.wikidata.org/entity/Q112653927,http://www.wikidata.org/entity/Q980688,université Paris-Est-Créteil-Val-de-Marne,education
http://www.wikidata.org/entity/Q112654108,http://www.wikidata.org/entity/Q28155339,lycée Georges-Brassens,education
http://www.wikidata.org/entity/Q112654108,http://www.wikidata.org/entity/Q662976,université Paris-Panthéon-Assas,education
http://www.wikidata.org/entity/Q112654178,http://www.wikidata.org/entity/Q1857334,université de Bretagne-Occidentale,education
http://www.wikidata.org/entity/Q112654178,http://www.wikidata.org/entity/Q3151965,Institut d'études politiques de Rennes,education
http://www.wikidata.org/entity/Q112654178,http://www.wikidata.org/entity/Q459026,université Rennes-II,education
http://www.wikidata.org/entity/Q112654178,http://www.wikidata.org/entity/Q726595,université Rennes-I,education
http://www.wikidata.org/entity/Q112654178,http://www.wikidata.org/entity/Q999763,université Paris-I-Panthéon-Sorbonne,education
http://www.wikidata.org/entity/Q112654771,http://www.wikidata.org/entity/Q49088,Université Columbia,education
http://www.wikidata.org/entity/Q112654771,http://www.wikidata.org/entity/Q859363,Institut d'études politiques de Paris,education
http://www.wikidata.org/entity/Q112892896,http://www.wikidata.org/entity/Q131137989,emlyon alumni,membership
http://www.wikidata.org/entity/Q112892896,http://www.wikidata.org/entity/Q1795504,EM Lyon Business School,education
