"s","label","birthDate","genLabel"
"http://www.wikidata.org/entity/Q16634891",,"1896",
"http://www.wikidata.org/entity/Q3263031",,"1923",
"http://www.wikidata.org/entity/Q3105790",,"1930",
"http://www.wikidata.org/entity/Q3265690",,"1919",
"http://www.wikidata.org/entity/Q3263036",,"1901",
"http://www.wikidata.org/entity/Q16634889",,"1898",
"http://www.wikidata.org/entity/Q3085621",,"1962",
"http://www.wikidata.org/entity/Q3166775",,"1956",
"http://www.wikidata.org/entity/Q3105792",,"1941",
"http://www.wikidata.org/entity/Q23948039",,"1939",
"http://www.wikidata.org/entity/Q3564277",,"1963",
"http://www.wikidata.org/entity/Q2866091",,"1961",
"http://www.wikidata.org/entity/Q30530164",,"1983",
"http://www.wikidata.org/entity/Q16027101",,"1909",
"http://www.wikidata.org/entity/Q2935125",,"1954",
"http://www.wikidata.org/entity/Q23948030",,"1953",
"http://www.wikidata.org/entity/Q3105786",,"1920",
"http://www.wikidata.org/entity/Q3124065",,"1948",
"http://www.wikidata.org/entity/Q3169815",,"1969",
"http://www.wikidata.org/entity/Q3371748",,"1908",
"http://www.wikidata.org/entity/Q30385652",,"1965",
"http://www.wikidata.org/entity/Q30337139",,"1962",
"http://www.wikidata.org/entity/Q30337138",,"1973",
"http://www.wikidata.org/entity/Q30386985",,"1977",
"http://www.wikidata.org/entity/Q112653333",,"1966",
"http://www.wikidata.org/entity/Q2829945",,"1954",
"http://www.wikidata.org/entity/Q30339795",,"1982",
"http://www.wikidata.org/entity/Q3157844",,"1952",
"http://www.wikidata.org/entity/Q3131235",,"1957",
"http://www.wikidata.org/entity/Q122537759",,"1990",
"http://www.wikidata.org/entity/Q3336553",,"1973",
"http://www.wikidata.org/entity/Q160802",,"1892",
"http://www.wikidata.org/entity/Q3173089",,"1914",
"http://www.wikidata.org/entity/Q3084310",,"1958",
"http://www.wikidata.org/entity/Q3166795",,"1927",
"http://www.wikidata.org/entity/Q23948040",,"1932",
"http://www.wikidata.org/entity/Q23948045",,"1922",
"http://www.wikidata.org/entity/Q23948043",,"1923",
"http://www.wikidata.org/entity/Q3105773",,"1949",
"http://www.wikidata.org/entity/Q3189415",,"1905",
"http://www.wikidata.org/entity/Q3370440",,"1914",
"http://www.wikidata.org/entity/Q3371775",,"1901",
"http://www.wikidata.org/entity/Q2829936",,"1919",
"http://www.wikidata.org/entity/Q3170818",,"1921",
"http://www.wikidata.org/entity/Q3564294",,"1963",
"http://www.wikidata.org/entity/Q1717882",,"1969",
"http://www.wikidata.org/entity/Q3265689",,"1939",
"http://www.wikidata.org/entity/Q16634865",,"1903",
"http://www.wikidata.org/entity/Q16634862",,"1907",
"http://www.wikidata.org/entity/Q30404445",,"1945",
"http://www.wikidata.org/entity/Q3124049",,"1943",
