"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
1,http://www.wikidata.org/entity/Q101410,personnalité politique,avocat-ou-avocate,juriste,,,,1,
2,http://www.wikidata.org/entity/Q1027406,personnalité politique,NA,NA,,,,2,
3,http://www.wikidata.org/entity/Q1027528,personnalité politique,pensionné,NA,,,,3,
4,http://www.wikidata.org/entity/Q10287,personnalité politique,professions-libérales-et-assimilés,NA,,,,4,
5,http://www.wikidata.org/entity/Q1031645,personnalité politique,magistrat-ou-magistrate,ingénieur-ou-ingénieure-des-mines,,,,5,
6,http://www.wikidata.org/entity/Q104032664,personnalité politique,ingénieurs-et-cadres-techniques-d'entreprise,ingénieur-ou-ingénieure,,,,6,
7,http://www.wikidata.org/entity/Q106020252,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,professions-intermédiaires-administratives-de-la-fonction-publique,,,,7,
8,http://www.wikidata.org/entity/Q10620526,personnalité politique,NA,NA,,,,8,
9,http://www.wikidata.org/entity/Q106291673,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,pharmacien-ou-pharmacienne,,,,9,
10,http://www.wikidata.org/entity/Q106489533,NA,professions-libérales-et-assimilés,militant-ou-militante,,,,10,
11,http://www.wikidata.org/entity/Q106635078,personnalité politique,anciens-cadres,journaliste,,,,11,
12,http://www.wikidata.org/entity/Q107126233,personnalité politique,professions-libérales-et-assimilés,avocat-ou-avocate,,,,12,
13,http://www.wikidata.org/entity/Q107127761,personnalité politique,NA,NA,,,,13,
14,http://www.wikidata.org/entity/Q107449933,personnalité politique,journaliste,"professions-de-l'information,-des-arts-et-des-spectacles",,,,14,
15,http://www.wikidata.org/entity/Q108037752,personnalité politique,NA,NA,,,,15,
16,http://www.wikidata.org/entity/Q108823633,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,chef-ou-cheffe-d'entreprise,,,,16,
17,http://www.wikidata.org/entity/Q109043455,personnalité politique,NA,NA,,,,17,
18,http://www.wikidata.org/entity/Q1096496,personnalité politique,lobbyiste,NA,,,,18,
19,http://www.wikidata.org/entity/Q109681600,personnalité politique,syndicaliste,personnels-des-services-directs-aux-particuliers,,,,19,
20,http://www.wikidata.org/entity/Q109711972,personnalité politique,personnes-diverses-sans-activité-professionnelle-de-moins-de-60-ans-sauf-retraités,NA,,,,20,
21,http://www.wikidata.org/entity/Q109969696,personnalité politique,cadres-administratifs-et-commerciaux-d'entreprise,NA,,,,21,
22,http://www.wikidata.org/entity/Q1103356,personnalité politique,NA,NA,,,,22,
23,http://www.wikidata.org/entity/Q110464124,personnalité politique,employés-civils-et-agents-de-service-de-la-fonction-publique,"contremaîtres,-agents-de-maîtrise",,,,23,
24,http://www.wikidata.org/entity/Q1106890,personnalité politique,permanent-politique,NA,,,,24,
25,http://www.wikidata.org/entity/Q1108317,personnalité politique,NA,NA,,,,25,
26,http://www.wikidata.org/entity/Q1108330,personnalité politique,journaliste,"professions-de-l'information,-des-arts-et-des-spectacles",,,,26,
27,http://www.wikidata.org/entity/Q110934545,personnalité politique,journaliste,professions-intermédiaires-administratives-de-la-fonction-publique,,,,27,
28,http://www.wikidata.org/entity/Q110998923,personnalité politique,personnes-diverses-sans-activité-professionnelle-de-moins-de-60-ans-sauf-retraités,professions-intermédiaires-administratives-et-commerciales-des-entreprises,,,,28,
29,http://www.wikidata.org/entity/Q111378729,personnalité politique,personnes-diverses-sans-activité-professionnelle-de-moins-de-60-ans-sauf-retraités,chefs-d'entreprise-de-10-salariés-ou-plus,,,,29,
30,http://www.wikidata.org/entity/Q111397019,personnalité politique,NA,NA,,,,30,
31,http://www.wikidata.org/entity/Q111685345,personnalité politique,NA,NA,,,,31,
32,http://www.wikidata.org/entity/Q111974554,personnalité politique,NA,NA,,,,32,
33,http://www.wikidata.org/entity/Q112040646,personnalité politique,"professeurs,-professions-scientifiques",NA,,,,33,
34,http://www.wikidata.org/entity/Q112079050,personnalité politique,professions-libérales-et-assimilés,chefs-d'entreprise-de-10-salariés-ou-plus,,,,34,
